"id","movie_name","actors","directors","duration","genre"
381,"The Purge: Anarchy","Frank Grillo, Carmen Ejogo, Zach Gilford","James DeMonaco","103 min ","Action, Horror, Sci-Fi"
398,"Persecuted","Joshua M. Bott, John Herzog, Nikita Bogolyubov","Benjamin Bondar","19 min ","Action, Drama"
423,"Survivor","Danielle Chuchran, Kevin Sorbo, Rocky Myers","John Lyde","93 min ","Action, Adventure, Fantasy"
427,"Brotherhood","Jeff Caponigro, Alfredo Torella, Gianluca Torella","Alfredo Torella","64 min ","Action, Drama, Family"
430,"Sleeping Beauty","Jenny Allford, Robert Amstler, Gemma Donato","Rene Perez","88 min ","Action, Adventure, Drama"
440,"The Dead Lands","James Rolleston, Lawrence Makoare, Te Kohe Tuhaka","Toa Fraser","107 min ","Action"
497,"A Hard Day","Sun-kyun Lee, Jang In-sub, Man-shik Jeong","Seong-hoon Kim","111 min ","Action, Crime, Thriller"
499,"V/H/S: Viral","Patrick Lawrie, Emilia Ares Zoryan, Celia K. Milius","Justin Benson","81 min ","Action, Horror, Thriller"
505,"Centurion AD","Katherine Randolph, Brian Reed Garvin, Martin Horsey","Brian Reed Garvin","102 min ","Action, Adventure, Sci-Fi"
510,"Roar","Aadil Chahal, Aaran Chaudhary, Pranay Dixit","Kamal Sadanah","123 min ","Action, Adventure, Thriller"
551,"The Master","Xiangguo Chang, Mai Jintong, Cheng Ni","Ke Zhou","86 min ","Action"
562,"R.I.P.D.","Ryan Reynolds, Jeff Bridges, Mary-Louise Parker","Robert Schwentke","96 min ","Action, Comedy, Sci-Fi"
569,"The Colony","Kevin Zegers, Laurence Fishburne, Bill Paxton","Jeff Renfroe","95 min ","Action, Horror, Sci-Fi"
572,"The World's End","Simon Pegg, Nick Frost, Martin Freeman","Edgar Wright","109 min ","Action, Comedy, Sci-Fi"
573,"Oldboy","Josh Brolin, Elizabeth Olsen, Samuel L. Jackson","Spike Lee","104 min ","Action, Drama, Mystery"
574,"Gangster Squad","Sean Penn, Ryan Gosling, Emma Stone","Ruben Fleischer","113 min ","Action, Crime, Drama"
579,"Star Trek Into Darkness","Chris Pine, Zachary Quinto, Zoe Saldana","J.J. Abrams","132 min ","Action, Adventure, Sci-Fi"
581,"Riddick","Vin Diesel, Karl Urban, Katee Sackhoff","David Twohy","119 min ","Action, Sci-Fi, Thriller"
585,"The Grandmaster","Tony Chiu Wai Leung, Ziyi Zhang, Jin Zhang","Kar Wai Wong","130 min ","Action, Biography, Drama"
591,"The Mortal Instruments: City of Bones","Lily Collins, Jamie Campbell Bower, Robert Sheehan","Harald Zwart","130 min ","Action, Adventure, Fantasy"
592,"The Last Stand","Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville","Jee-woon Kim","107 min ","Action, Crime, Thriller"
597,"A Good Day to Die Hard","Bruce Willis, Jai Courtney, Sebastian Koch","John Moore","98 min ","Action, Crime, Thriller"
606,"We're the Millers","Jason Sudeikis, Jennifer Aniston, Emma Roberts","Rawson Marshall Thurber","110 min ","Action, Adventure, Comedy"
607,"Ender's Game","Harrison Ford, Asa Butterfield, Hailee Steinfeld","Gavin Hood","114 min ","Action, Sci-Fi"
613,"After Earth","Jaden Smith, David Denman, Will Smith","M. Night Shyamalan","100 min ","Action, Adventure, Sci-Fi"
614,"RED 2","Bruce Willis, Helen Mirren, John Malkovich","Dean Parisot","116 min ","Action, Comedy, Crime"
617,"Big Ass Spider!","Greg Grunberg, Lin Shaye, Ruben Pla","Mike Mendez","80 min ","Action, Comedy, Sci-Fi"
621,"Hatchet III","Danielle Harris, Kane Hodder, Zach Galligan","BJ McDonnell","81 min ","Action, Comedy, Horror"
625,"Parker","Jason Statham, Jennifer Lopez, Michael Chiklis","Taylor Hackford","118 min ","Action, Crime, Thriller"
626,"Fast & Furious 6","Vin Diesel, Paul Walker, Dwayne Johnson","Justin Lin","130 min ","Action, Crime, Thriller"
629,"Frankenstein's Army","Robert Gwilym, Hon Ping Tang, Alexander Mercury","Richard Raaphorst","84 min ","Action, Horror, Sci-Fi"
633,"Stalingrad","Mariya Smolnikova, Yanina Studilina, Pyotr Fyodorov","Fedor Bondarchuk","131 min ","Action, Drama, War"
634,"Pain & Gain","Mark Wahlberg, Dwayne Johnson, Anthony Mackie","Michael Bay","129 min ","Action, Comedy, Crime"
635,"The Young and Prodigious T.S. Spivet","Kyle Catlett, Helena Bonham Carter, Judy Davis","Jean-Pierre Jeunet","105 min ","Action, Adventure, Drama"
636,"Machete Kills","Danny Trejo, Alexa PenaVega, Mel Gibson","Robert Rodriguez","107 min ","Action, Crime, Thriller"
637,"Wolf Creek 2","John Jarratt, Ryan Corr, Shannon Ashlyn","Greg McLean","106 min ","Action, Horror, Thriller"
639,"Man of Tai Chi","Tiger Hu Chen, Keanu Reeves, Karen Mok","Keanu Reeves","105 min ","Action, Drama"
651,"Chennai Express","Deepika Padukone, Shah Rukh Khan, Satyaraj","Rohit Shetty","141 min ","Action, Comedy, Romance"
653,"Special ID","Donnie Yen, Tian Jing, Andy On","Clarence Yiu-leung Fok","99 min ","Action, Crime, Drama"
658,"Getaway","Ethan Hawke, Selena Gomez, Jon Voight","Courtney Solomon","90 min ","Action, Crime, Thriller"
666,"Welcome to the Jungle","Jean-Claude Van Damme, Adam Brody, Rob Huebel","Rob Meltzer","95 min ","Action, Adventure, Comedy"
688,"Afflicted","Clif Prowse, Derek Lee, Michael Gill","Derek Lee","85 min ","Horror, Mystery, Thriller"
690,"Homefront","Jason Statham, James Franco, Winona Ryder","Gary Fleder","100 min ","Action, Crime, Drama"
699,"White House Down","Channing Tatum, Jamie Foxx, Maggie Gyllenhaal","Roland Emmerich","131 min ","Action, Drama, Thriller"
703,"Unforgiven","Ken Watanabe, Yukiyoshi Ozawa, Jun Kunimura","Sang-il Lee","135 min ","Action, Crime, Drama"
713,"Robin Hood","Ken Duken, Dagny Dewath, Matthias Koeberlin","Martin Schreier","92 min ","Action, Drama"
716,"Legendary","Scott Adkins, Dolph Lundgren, Yi Huang","Eric Styles","92 min ","Action, Adventure"
719,"Bounty Killer","Matthew Marsden, Kristanna Loken, Christian Pitre","Henry Saine","92 min ","Action, Sci-Fi, Thriller"
728,"Captive","Eric Breker, Cory Rempel, Dalias Blake","Jordan Brown","88 min ","Action, Thriller"
733,"Enemies Closer","Tom Everett Scott, Jean-Claude Van Damme, Orlando Jones","Peter Hyams","85 min ","Action, Thriller"
738,"The Heat","Sandra Bullock, Michael McDonald, Melissa McCarthy","Paul Feig","117 min ","Action, Comedy, Crime"
753,"Ip Man: The Final Fight","Anthony Chau-Sang Wong, Gillian Chung, Jordan Chan","Herman Yau","100 min ","Action, Biography, Drama"
773,"Boss","Akshay Kumar, Shiv Pandit, Mithun Chakraborty","Anthony D'Souza","143 min ","Action, Comedy, Drama"
780,"Police Story: Lockdown","Jackie Chan, Ye Liu, Tian Jing","Sheng Ding","110 min ","Action, Crime, Drama"
810,"Rigor Mortis","Anthony Chan, Siu-Ho Chin, Fat Chung","Juno Mak","103 min ","Action, Drama, Horror"
825,"Madras Cafe","Nargis Fakhri, John Abraham, Rashi Khanna","Shoojit Sircar","130 min ","Action, Drama, History"
896,"John Carter","Taylor Kitsch, Lynn Collins, Willem Dafoe","Andrew Stanton","132 min ","Action, Adventure, Fantasy"
900,"The Sweeney","Ray Winstone, Ben Drew, Hayley Atwell","Nick Love","112 min ","Action, Crime, Drama"
901,"The Amazing Spider-Man","Andrew Garfield, Emma Stone, Rhys Ifans","Marc Webb","136 min ","Action, Adventure, Fantasy"
904,"The Girl from the Naked Eye","Jason Yee, Samantha Streets, Ron Yuan","David Ren","84 min ","Action, Crime, Mystery"
906,"The Bourne Legacy","Jeremy Renner, Rachel Weisz, Edward Norton","Tony Gilroy","135 min ","Action, Adventure, Mystery"
908,"Red Dawn","Chris Hemsworth, Isabel Lucas, Josh Hutcherson","Dan Bradley","93 min ","Action, Thriller, War"
911,"Looper","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt","Rian Johnson","119 min ","Action, Crime, Sci-Fi"
914,"Bullet to the Head","Sylvester Stallone, Jason Momoa, Christian Slater","Walter Hill","92 min ","Action, Crime, Thriller"
918,"Total Recall","Colin Farrell, Bokeem Woodbine, Bryan Cranston","Len Wiseman","118 min ","Action, Adventure, Mystery"
920,"Taken 2","Liam Neeson, Famke Janssen, Maggie Grace","Olivier Megaton","92 min ","Action, Thriller"
922,"Men in Black 3","Will Smith, Tommy Lee Jones, Josh Brolin","Barry Sonnenfeld","106 min ","Action, Comedy, Sci-Fi"
928,"Premium Rush","Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez","David Koepp","91 min ","Action, Crime, Thriller"
929,"Aftermath","C.J. Thomason, Monica Keena, Edward Furlong","Peter Engert","92 min ","Action, Thriller"
930,"Man on a Ledge","Sam Worthington, Elizabeth Banks, Jamie Bell","Asger Leth","102 min ","Action, Crime, Thriller"
934,"Easy Money II: Hard to Kill","Joel Kinnaman, Matias Varela, Dragomir Mrsic","Babak Najafi","99 min ","Action, Crime, Drama"
935,"Act of Valor","Alex Veadov, Roselyn Sanchez, Nestor Serrano","Mike McCoy","110 min ","Action, Thriller, War"
936,"Lockout","Guy Pearce, Maggie Grace, Peter Stormare","James Mather","95 min ","Action, Drama, Sci-Fi"
937,"This Means War","Reese Witherspoon, Chris Pine, Tom Hardy","McG","103 min ","Action, Comedy, Romance"
940,"Abraham Lincoln: Vampire Hunter","Benjamin Walker, Rufus Sewell, Dominic Cooper","Timur Bekmambetov","105 min ","Action, Fantasy, Horror"
944,"Wrath of the Titans","Sam Worthington, Liam Neeson, Rosamund Pike","Jonathan Liebesman","99 min ","Action, Adventure, Fantasy"
960,"Beyond Outrage","Toshiyuki Nishida, Tomokazu Miura, Takeshi Kitano","Takeshi Kitano","112 min ","Action, Crime, Drama"
972,"The Expendables 2","Sylvester Stallone, Liam Hemsworth, Randy Couture","Simon West","103 min ","Action, Adventure, Thriller"
1011,"Gangs of Wasseypur","Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui","Anurag Kashyap","320 min ","Action, Crime, Drama"
1041,"Hit and Run","Dax Shepard, Kristen Bell, Bradley Cooper","David Palmer","100 min ","Action, Comedy, Romance"
1042,"Spring Breakers","Vanessa Hudgens, Selena Gomez, Ashley Benson","Harmony Korine","94 min ","Action, Crime, Drama"
1051,"I Declare War","Siam Yu, Kolton Stewart, Gage Munroe","Jason Lapeyre","94 min ","Action, Comedy, Drama"
1082,"The Deal","Ahmed el-Sakka, Ahmed Ezz, Hanan Turk","Sandra Nashaat","115 min ","Action, Crime, Drama"
1093,"Hate Crime","Jody Barton, Nicholas Adam Clark, Greg Depetro","James Cullen Bressack","73 min ","Action, Horror, Thriller"
1117,"War of the Worlds: Goliath","Adam Baldwin, Beau Billingslea, Kim Buckingham","Joe Pearson","85 min ","Animation, Action, Adventure"
1157,"The Hunt","Guillaume Beylard, Zuriel De Peslouan, Sarah Lucide","Thomas Szczepanski","74 min ","Action, Horror, Thriller"
1163,"Spy","Vincent Pastore, Ben Curtis, Lora Kojovic","Alexander Klymko","110 min ","Action, Crime, Drama"
1164,"Cowboys & Aliens","Daniel Craig, Harrison Ford, Olivia Wilde","Jon Favreau","119 min ","Action, Sci-Fi, Thriller"
1165,"Real Steel","Hugh Jackman, Evangeline Lilly, Dakota Goyo","Shawn Levy","127 min ","Action, Drama, Sci-Fi"
1167,"The Mechanic","Jason Statham, Ben Foster, Donald Sutherland","Simon West","93 min ","Action, Crime, Thriller"
1168,"Season of the Witch","Nicolas Cage, Ron Perlman, Claire Foy","Dominic Sena","95 min ","Action, Adventure, Fantasy"
1175,"The Adventures of Tintin","Jamie Bell, Andy Serkis, Daniel Craig","Steven Spielberg","107 min ","Animation, Action, Adventure"
1176,"The Green Hornet","Seth Rogen, Jay Chou, Christoph Waltz","Michel Gondry","119 min ","Action, Comedy, Crime"
1178,"The Eagle","Channing Tatum, Jamie Bell, Donald Sutherland","Kevin Macdonald","114 min ","Action, Adventure, Drama"
1182,"Seeking Justice","Nicolas Cage, January Jones, Guy Pearce","Roger Donaldson","105 min ","Action, Drama, Thriller"
1185,"Mission: Impossible - Ghost Protocol","Tom Cruise, Jeremy Renner, Simon Pegg","Brad Bird","133 min ","Action, Adventure, Thriller"
1188,"Bellflower","Evan Glodell, Tyler Dawson, Jessie Wiseman","Evan Glodell","106 min ","Action, Drama, Romance"
1190,"Immortals","Henry Cavill, Mickey Rourke, John Hurt","Tarsem Singh","110 min ","Action, Drama, Fantasy"
1196,"Kung Fu Panda 2","Jack Black, Angelina Jolie, Jackie Chan","Jennifer Yuh","91 min ","Animation, Action, Adventure"
1208,"Transformers: Dark of the Moon","Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson","Michael Bay","154 min ","Action, Adventure, Sci-Fi"
1209,"Unknown","Liam Neeson, Diane Kruger, January Jones","Jaume Collet-Serra","113 min ","Action, Mystery, Thriller"
1214,"Killer Elite","Jason Statham, Clive Owen, Robert De Niro","Gary McKendry","116 min ","Action, Crime, Thriller"
1217,"I Am Number Four","Alex Pettyfer, Timothy Olyphant, Dianna Agron","D.J. Caruso","109 min ","Action, Adventure, Sci-Fi"
1218,"Attack the Block","John Boyega, Jodie Whittaker, Alex Esmail","Joe Cornish","88 min ","Action, Comedy, Sci-Fi"
1219,"5 Days of War","Rupert Friend, Emmanuelle Chriqui, Richard Coyle","Renny Harlin","113 min ","Action, Drama, War"
1220,"Drive Angry","Nicolas Cage, Amber Heard, William Fichtner","Patrick Lussier","104 min ","Action, Comedy, Fantasy"
1222,"Haywire","Gina Carano, Ewan McGregor, Michael Fassbender","Steven Soderbergh","93 min ","Action, Thriller"
1225,"Sherlock Holmes: A Game of Shadows","Robert Downey Jr., Jude Law, Jared Harris","Guy Ritchie","129 min ","Action, Adventure, Crime"
1240,"Machine Gun Preacher","Gerard Butler, Michelle Monaghan, Michael Shannon","Marc Forster","129 min ","Action, Biography, Crime"
1247,"The Grey","Liam Neeson, Dermot Mulroney, Frank Grillo","Joe Carnahan","117 min ","Action, Adventure, Drama"
1254,"Blackthorn","Sam Shepard, Eduardo Noriega, Stephen Rea","Mateo Gil","102 min ","Action, Adventure, Western"
1258,"Violet & Daisy","Saoirse Ronan, Alexis Bledel, James Gandolfini","Geoffrey Fletcher","88 min ","Action, Comedy, Crime"
1263,"The Double","Richard Gere, Topher Grace, Martin Sheen","Michael Brandt","98 min ","Action, Crime, Drama"
1319,"Weekend","Pawel Malaszynski, Malgorzata Socha, Michal Lewandowski","Cezary Pazura","121 min ","Action, Comedy, Crime"
1322,"Jackpot","Kyrre Hellum, Mads Ousdal, Henrik Mestad","Magnus Martens","90 min ","Action, Comedy, Crime"
1371,"Blind","HaNeul Kim, Seung-ho Yoo, Hie-bong Jo","Sang-hoon Ahn","111 min ","Action, Crime, Drama"
1422,"The A-Team","Liam Neeson, Bradley Cooper, Sharlto Copley","Joe Carnahan","117 min ","Action, Adventure, Comedy"
1425,"Prince of Persia: The Sands of Time","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley","Mike Newell","116 min ","Action, Adventure, Fantasy"
1427,"The Losers","Idris Elba, Zoe Saldana, Jeffrey Dean Morgan","Sylvain White","97 min ","Action, Crime, Drama"
1434,"Salt","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor","Phillip Noyce","100 min ","Action, Crime, Mystery"
1437,"The Sorcerer's Apprentice","Nicolas Cage, Jay Baruchel, Alfred Molina","Jon Turteltaub","109 min ","Action, Adventure, Comedy"
1441,"Megamind","Will Ferrell, Jonah Hill, Brad Pitt","Tom McGrath","95 min ","Animation, Action, Comedy"
1447,"The Book of Eli","Denzel Washington, Mila Kunis, Ray Stevenson","Albert Hughes","118 min ","Action, Adventure, Drama"
1450,"The Bounty Hunter","Jennifer Aniston, Gerard Butler, Gio Perez","Andy Tennant","110 min ","Action, Comedy, Romance"
1451,"The Nutcracker in 3D","Elle Fanning, Nathan Lane, John Turturro","Andrey Konchalovskiy","110 min ","Action, Family, Fantasy"
1453,"Jonah Hex","Josh Brolin, Megan Fox, John Malkovich","Jimmy Hayward","81 min ","Action, Drama, Fantasy"
1463,"Detective Dee: Mystery of the Phantom Flame","Tony Ka Fai Leung, Chao Deng, Carina Lau","Hark Tsui","119 min ","Action, Adventure, Drama"
1469,"The Karate Kid","Jackie Chan, Jaden Smith, Taraji P. Henson","Harald Zwart","140 min ","Action, Drama, Family"
1483,"Iron Man 2","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow","Jon Favreau","124 min ","Action, Adventure, Sci-Fi"
1488,"The Tourist","Johnny Depp, Angelina Jolie, Paul Bettany","Florian Henckel von Donnersmarck","103 min ","Action, Romance, Thriller"
1494,"The Spy Next Door","Jackie Chan, Amber Valletta, Billy Ray Cyrus","Brian Levant","94 min ","Action, Comedy, Family"
1509,"The Expendables","Sylvester Stallone, Jason Statham, Jet Li","Sylvester Stallone","103 min ","Action, Adventure, Thriller"
1537,"Faster","Dwayne Johnson, Billy Bob Thornton, Maggie Grace","George Tillman Jr.","98 min ","Action, Crime, Drama"
1545,"Prince","Vivek Oberoi, Isaiah, Aruna Shields","Kookie V. Gulati","138 min ","Action, Crime, Drama"
1546,"Boy Wonder","Caleb Steinmeyer, Zulay Henao, Bill Sage","Michael Morrissey","93 min ","Action, Crime, Drama"
1623,"Pixels","Marcin Adamkiewicz, Dominik Bak, Mieszko Barglik","Jacek Lusinski","100 min ","Action, Comedy"
1668,"Haunters","Dong-won Kang, Duek-mun Choi, Jeong Eun-Chae","Min-suk Kim","100 min ","Action, Sci-Fi, Thriller"
1684,"Daybreakers","Ethan Hawke, Willem Dafoe, Sam Neill","Michael Spierig","98 min ","Action, Horror, Sci-Fi"
1685,"The Perfect Sleep","Anton Pardoe, Anthony Dilio, David Beck","Jeremy Alter","99 min ","Action, Drama, Romance"
1687,"Cirque du Freak: The Vampire's Assistant","Chris Massoglia, John C. Reilly, Salma Hayek","Paul Weitz","109 min ","Action, Adventure, Fantasy"
1690,"Push","Camilla Belle, Dakota Fanning, Chris Evans","Paul McGuigan","111 min ","Action, Sci-Fi, Thriller"
1694,"Star Trek","Chris Pine, Zachary Quinto, Simon Pegg","J.J. Abrams","127 min ","Action, Adventure, Sci-Fi"
1706,"Monsters vs. Aliens","Reese Witherspoon, Rainn Wilson, Stephen Colbert","Rob Letterman","94 min ","Animation, Action, Adventure"
1707,"The International","Clive Owen, Naomi Watts, Armin Mueller-Stahl","Tom Tykwer","118 min ","Action, Crime, Drama"
1713,"Surrogates","Bruce Willis, Radha Mitchell, Ving Rhames","Jonathan Mostow","89 min ","Action, Sci-Fi, Thriller"
1714,"Sherlock Holmes","Robert Downey Jr., Jude Law, Rachel McAdams","Guy Ritchie","128 min ","Action, Adventure, Crime"
1717,"Fast & Furious","Vin Diesel, Paul Walker, Michelle Rodriguez","Justin Lin","107 min ","Action, Crime, Drama"
1724,"G.I. Joe: The Rise of Cobra","Dennis Quaid, Channing Tatum, Marlon Wayans","Stephen Sommers","118 min ","Action, Adventure, Sci-Fi"
1736,"Chandni Chowk to China","Akshay Kumar, Deepika Padukone, Chia-Hui Liu","Nikhil Advani","154 min ","Action, Adventure, Comedy"
1737,"Next Day Air","Yasiin Bey, Mike Epps, Donald Faison","Benny Boom","84 min ","Action, Comedy, Crime"
1743,"Breathe","","Nicholas Winter","86 min ","Action, Drama"
1768,"2012","John Cusack, Thandie Newton, Chiwetel Ejiofor","Roland Emmerich","158 min ","Action, Adventure, Sci-Fi"
1773,"The Boxer","Kelly Adams, Gregor Bador, Frank Braun","Thomas Jahn","94 min ","Action, Drama, Sport"
1787,"District 13: Ultimatum","Cyril Raffaelli, David Belle, Philippe Torreton","Patrick Alessandrin","101 min ","Action, Crime, Thriller"
1799,"Harry Brown","Michael Caine, Emily Mortimer, David Bradley","Daniel Barber","103 min ","Action, Crime, Drama"
1806,"The Boondock Saints II: All Saints Day","Sean Patrick Flanery, Norman Reedus, Billy Connolly","Troy Duffy","118 min ","Action, Comedy, Crime"
1819,"Vengeance","Johnny Hallyday, Sylvie Testud, Anthony Chau-Sang Wong","Johnnie To","108 min ","Action, Crime, Drama"
1846,"Blood","Aya Sugimoto, Guts Ishimatsu, Jun Kaname","Ten Shimoyama","85 min ","Action, Horror"
1868,"The Fighter","Rafael Amaya, Ana Layevska, Tony Munoz","Javier Barbera","90 min ","Action"
1870,"The Robbers","Jun Hu, Wu Jiang, Li-Chun Lee","Shu-peng Yang","93 min ","Action"
1895,"Iron Man","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","Jon Favreau","126 min ","Action, Adventure, Sci-Fi"
1896,"Journey to the Center of the Earth","Brendan Fraser, Josh Hutcherson, Anita Briem","Eric Brevig","93 min ","Action, Adventure, Family"
1898,"Hell Ride","Larry Bishop, Dennis Hopper, Michael Madsen","Larry Bishop","84 min ","Action, Drama, Thriller"
1899,"Hellboy II: The Golden Army","Ron Perlman, Selma Blair, Doug Jones","Guillermo del Toro","120 min ","Action, Adventure, Fantasy"
1900,"Street Kings","Keanu Reeves, Forest Whitaker, Hugh Laurie","David Ayer","109 min ","Action, Crime, Drama"
1901,"Get Smart","Steve Carell, Anne Hathaway, Alan Arkin","Peter Segal","110 min ","Action, Adventure, Comedy"
1905,"Kung Fu Panda","Jack Black, Ian McShane, Angelina Jolie","Mark Osborne","92 min ","Animation, Action, Adventure"
